2021-10-18T12:12:20.585Z [INFO   ]: [object Object]
2021-10-18T12:13:00.966Z [INFO   ]: {"success":true,"name":"Shuvam"}
2021-10-18T12:13:55.579Z [INFO   ]: {"success":true,"name":"Shuvam"}
2021-10-18T12:14:08.273Z [INFO   ]: "Weather of Jaipur is Haze and haze with Min Temperature : 297.77 and Max Temperature : 297.77"
2021-10-18T12:56:21.686Z [INFO   ]: {"success":true,"name":"Shuvam Sengupta"}
2021-10-18T12:58:01.616Z [INFO   ]: {"success":true,"name":"Shuvam Sengupta"}
2021-10-18T12:58:19.497Z [INFO   ]: "Weather of Jaipur is Haze and haze with Min Temperature : 297.77 and Max Temperature : 297.77"
2021-10-18T13:04:43.141Z [INFO   ]: {"success":true,"name":"Shuvam Sengupta"}
2021-10-18T13:05:01.169Z [INFO   ]: "Weather of Jaipur is Haze and haze with Min Temperature : 297.77 and Max Temperature : 297.77"
2021-10-18T13:12:36.491Z [INFO   ]: {"success":true,"name":"Shuvam Sengupta"}
2021-10-18T13:13:44.814Z [INFO   ]: {"success":true,"name":"Shuvam"}
2021-10-18T13:18:33.292Z [INFO   ]: {"success":true,"name":"Shuvam"}
2021-10-18T13:19:53.620Z [INFO   ]: {"success":true,"name":"Shuvam Sengupta"}
2021-10-18T13:20:27.224Z [INFO   ]: "Weather of Jaipur is Haze and haze with Min Temperature : 296.77 and Max Temperature : 296.77"
2021-10-18T13:22:51.611Z [INFO   ]: {"success":true,"name":"Shuvam Sengupta"}
2021-10-18T13:23:55.201Z [INFO   ]: {"success":true,"name":"Shuvam Sengupta"}
2021-10-18T13:25:45.723Z [INFO   ]: {"success":true,"name":"Shuvam"}
2021-10-18T13:58:45.216Z [INFO   ]: {"success":true,"name":"Shuvam Sengupta"}
2021-10-18T13:59:58.816Z [INFO   ]: "Weather of Guwahati is Clouds and broken clouds with Min Temperature : 299.1 and Max Temperature : 299.1"
